,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
970,ParTyy Bloo,(+5),413,0.78,159.4,0.7,62%,107.0,0.54,0.28,0.07,0.11,34%,13%,6/47,21,223,317,114,29,45
971,sakurai CGZ,(+1),227,0.78,157.1,0.68,67%,100.0,0.53,0.32,0.07,0.14,28%,8%,1/12,14,120,176,73,15,31
972,Poti V9,(+2),315,0.78,166.0,0.76,67%,105.5,0.6,0.27,0.08,0.09,39%,3%,1/37,20,188,249,84,25,29
973,DaFt VIC,(+3),213,0.78,181.4,0.7,66%,118.6,0.58,0.34,0.05,0.1,21%,9%,3/35,20,124,176,73,10,22
974,grimoire NOOT,(+3),253,0.78,172.1,0.76,71%,115.2,0.62,0.31,0.07,0.09,43%,18%,5/28,30,156,204,79,18,22
975,steel DSG,(+3),303,0.77,170.6,0.72,65%,114.2,0.58,0.35,0.09,0.15,19%,12%,4/34,24,176,243,105,28,44
976,Whimp TRS,(+2),268,0.77,169.9,0.76,60%,117.1,0.57,0.17,0.06,0.1,25%,13%,5/40,20,152,201,45,17,27
977,Starlight,(+2),334,0.76,142.1,0.67,66%,91.5,0.5,0.23,0.07,0.11,23%,7%,2/30,15,168,252,77,24,38
978,ezzy WDS,,280,0.76,177.8,0.75,64%,120.3,0.59,0.16,0.08,0.13,28%,16%,3/19,28,165,221,45,22,36
979,dephh SEN,(+3),284,0.75,149.5,0.68,68%,101.1,0.51,0.35,0.05,0.1,23%,9%,2/23,21,146,214,100,15,28
980,Joey Fina,(+1),204,0.75,166.0,0.73,65%,109.6,0.58,0.23,0.06,0.09,26%,6%,1/16,24,118,162,47,12,18
981,Unbreakable RV,(+1),341,0.75,144.6,0.65,67%,96.3,0.49,0.34,0.05,0.09,23%,20%,9/45,18,166,257,115,16,31
982,rey OXR,(+2),237,0.74,160.3,0.67,69%,105.6,0.54,0.43,0.09,0.11,19%,7%,1/15,24,128,191,102,21,25
983,leah LEV.GC,,235,0.74,150.8,0.69,63%,106.6,0.54,0.28,0.05,0.08,29%,16%,7/43,18,127,184,66,11,18
984,Brxndon T30,,242,0.73,161.3,0.65,59%,101.6,0.53,0.29,0.07,0.12,23%,21%,8/38,19,128,198,69,17,29
985,MUTE TYL,(+2),208,0.73,169.5,0.73,64%,114.4,0.59,0.18,0.1,0.14,25%,11%,2/19,22,123,169,37,20,30
986,Rosé FB,(+2),205,0.71,155.8,0.63,67%,100.7,0.5,0.3,0.06,0.1,23%,12%,3/26,16,102,162,61,13,21
987,Louboutin VIC,(+3),213,0.65,156.5,0.65,62%,109.8,0.54,0.23,0.07,0.11,26%,10%,1/10,21,115,178,50,15,23
988,mFH MAD.SC,(+5),205,0.64,121.3,0.56,59%,78.3,0.43,0.22,0.04,0.11,25%,11%,4/35,15,89,159,45,8,22
